Date,HDD,Estimated
1/1/17,16.6,0
1/2/17,11.3,0
1/3/17,5.4,0
1/4/17,16.4,0
1/5/17,20.7,0
1/6/17,29.3,0
1/7/17,39.4,0
1/8/17,40.3,0
1/9/17,30.3,0
1/10/17,20.3,0
1/11/17,5.3,0
1/12/17,5.7,0
1/13/17,3.7,0
1/14/17,4.4,0
1/15/17,5.1,0
1/16/17,5.4,0
1/17/17,4,0
1/18/17,1.6,0
1/19/17,3.9,0
1/20/17,1.2,0
1/21/17,4.3,0
1/22/17,7.9,0
1/23/17,13.6,0
1/24/17,13.4,0
1/25/17,9.1,0
1/26/17,11.2,0
1/27/17,25.3,0
1/28/17,23.4,0
1/29/17,22.4,0
1/30/17,20.6,0
1/31/17,10.3,0
2/1/17,6.6,0
2/2/17,9.5,0
2/3/17,18,0
2/4/17,25.4,0
2/5/17,20.6,0
2/6/17,9.3,0
2/7/17,5.6,0
2/8/17,5,0
2/9/17,19.3,0
2/10/17,18.2,0
2/11/17,6.4,0
2/12/17,0.5,0
2/13/17,11.1,0
2/14/17,10.1,0
2/15/17,11.9,0
2/16/17,18,0
2/17/17,10.1,0
2/18/17,10.5,0
2/19/17,6.3,0
2/20/17,5.4,0
2/21/17,4.5,0
2/22/17,2.6,0
2/23/17,3.4,0
2/24/17,2.4,0
2/25/17,5.8,0
2/26/17,15.8,0
2/27/17,14.3,0
2/28/17,5.8,0
3/1/17,1.4,0
3/2/17,14.5,0
3/3/17,17.2,0
3/4/17,15.7,0
3/5/17,8.7,0
3/6/17,3.7,0
3/7/17,4.6,0
3/8/17,6.2,0
3/9/17,6.7,0
3/10/17,5.7,0
3/11/17,17,0
3/12/17,23.6,0
3/13/17,26.1,0
3/14/17,25,0
3/15/17,30.5,0
3/16/17,25.5,0
3/17/17,13,0
3/18/17,3.9,0
3/19/17,11.9,0
3/20/17,8.4,0
3/21/17,1.1,0
3/22/17,5.1,0
3/23/17,7.5,0
3/24/17,3.6,0
3/25/17,2.1,0
3/26/17,2,0
3/27/17,1.2,0
3/28/17,0.6,0
3/29/17,0.9,0
3/30/17,0.4,0
3/31/17,1.7,0
4/1/17,4.4,0
4/2/17,3.1,0
4/3/17,1,0
4/4/17,0.8,0
4/5/17,1.6,0
4/6/17,11.8,0
4/7/17,12.1,0
4/8/17,9.7,0
4/9/17,5.8,0
4/10/17,3.4,0
4/11/17,1.8,0
4/12/17,0.9,0
4/13/17,0.8,0
4/14/17,0.5,0
4/15/17,0.5,0
4/16/17,0.4,0
4/17/17,0.5,0
4/18/17,0,0
4/19/17,0.5,0
4/20/17,0.1,0
4/21/17,0,0
4/22/17,0.3,0
4/23/17,2.7,0
4/24/17,7.6,0
4/25/17,2.4,0
4/26/17,1.5,0
4/27/17,0.1,0
4/28/17,0,0
4/29/17,0,0
4/30/17,0,0
5/1/17,0.2,0
5/2/17,3.6,0
5/3/17,1.1,0
5/4/17,2,0
5/5/17,13.6,0
5/6/17,7.8,0
5/7/17,5.5,0
5/8/17,4.3,0
5/9/17,0.9,0
5/10/17,0.3,0
5/11/17,0,0
5/12/17,0,0
5/13/17,0.3,0
5/14/17,0.6,0
5/15/17,0.1,0
5/16/17,0,0
5/17/17,0,0
5/18/17,0,0
5/19/17,0,0
5/20/17,0,0
5/21/17,0,0
5/22/17,0,0
5/23/17,0,0
5/24/17,0.3,0
5/25/17,3.2,0
5/26/17,2,0
5/27/17,0,0
5/28/17,0,0
5/29/17,0,0
5/30/17,0,0
5/31/17,0,0
6/1/17,0,0
6/2/17,0,0
6/3/17,0,0
6/4/17,0,0
6/5/17,0,0
6/6/17,0,0
6/7/17,0,0
6/8/17,0,0
6/9/17,0,0
6/10/17,0,0
6/11/17,0,0
6/12/17,0,0
6/13/17,0,0
6/14/17,0,0
6/15/17,0,0
6/16/17,0,0
6/17/17,0,0
6/18/17,0,0
6/19/17,0,0
6/20/17,0,0
6/21/17,0,0
6/22/17,0,0
6/23/17,0,0
6/24/17,0,0
6/25/17,0,0
6/26/17,0.1,0
6/27/17,0,0
6/28/17,0,0
6/29/17,0,0
6/30/17,0,0
7/1/17,0,0
7/2/17,0,0
7/3/17,0,0
