Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,SO,4.72000000,4.77000000,4.70000000,4.74000000,24.12500000,4.74000000,4.74000000,62435,0,62435,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,295942
19971202,54,SO,4.74000000,4.79000000,4.72000000,4.74000000,24.12500000,4.74000000,4.74000000,52899,0,52899,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,250741
19971203,54,SO,4.75000000,4.78000000,4.62000000,4.63000000,23.56250000,4.63000000,4.63000000,99667,0,99667,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,461458
19971204,54,SO,4.62000000,4.62000000,4.52000000,4.54000000,23.12500000,4.54000000,4.54000000,67641,0,67641,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,307090
19971205,54,SO,4.52000000,4.59000000,4.50000000,4.59000000,23.37500000,4.59000000,4.59000000,69885,0,69885,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,320772
19971208,54,SO,4.61000000,4.62000000,4.52000000,4.56000000,23.18750000,4.56000000,4.56000000,61148,0,61148,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,278835
19971209,54,SO,4.59000000,4.61000000,4.56000000,4.58000000,23.31250000,4.58000000,4.58000000,44381,0,44381,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,203265
19971210,54,SO,4.54000000,4.58000000,4.53000000,4.56000000,23.18750000,4.56000000,4.56000000,40621,0,40621,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,185232
19971211,54,SO,4.57000000,4.57000000,4.52000000,4.53000000,23.06250000,4.53000000,4.53000000,36591,0,36591,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,165757
19971212,54,SO,4.54000000,4.56000000,4.50000000,4.54000000,23.12500000,4.54000000,4.54000000,62740,0,62740,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,284840
19971215,54,SO,4.61000000,4.70000000,4.50000000,4.67000000,23.75000000,4.67000000,4.67000000,55820,0,55820,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,260679
19971216,54,SO,4.69000000,4.72000000,4.64000000,4.64000000,23.62500000,4.64000000,4.64000000,44076,0,44076,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,204513
19971217,54,SO,4.69000000,4.70000000,4.67000000,4.70000000,23.93750000,4.70000000,4.70000000,30810,0,30810,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,144807
19971218,54,SO,4.70000000,4.72000000,4.68000000,4.72000000,24.00000000,4.72000000,4.72000000,43984,0,43984,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,207604
19971219,54,SO,4.72000000,4.77000000,4.67000000,4.72000000,24.00000000,4.72000000,4.72000000,102390,0,102390,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,483281
19971222,54,SO,4.74000000,4.84000000,4.74000000,4.83000000,24.56250000,4.83000000,4.83000000,53749,0,53749,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,259608
